 #,#, #, #, #,#, #, #, #,#, #, #,#, #, #,#,#,#,#,#
 .,#, ., ., .,#, ., ., .,#, ., .,#, ., .,#,#,#,#,#
 ., ., ., ., ., ., ., ., ., ., ., .,#, .,#, ., ., ., ., .
#, ., .,#, ., ., .,#, ., ., ., ., ., ., .,#, ., .,#,#
 ., .,#,#,#,.,#,#,#,#,#,#,#,#,#,#,#, ., ., .
 ., .,#,/1Dungeon 4,.|Z,., .,#,#, ., ., ., ., .,#,#,#,#,#, .
#,#,#, .,.|X,.|X,.|X,#, ., ., .|Z,#, ., .,#, ., ., ., ., .
 ., .,#,.|Z,.|X,w, .,#, ., ., .,#,#, .,#,.|Z,#,#,#, .
 ., .,#, .,.|X, .,.|X,#,#,#, .,#,#, .,#, ., ., .,#, .
 :, .,#,#,#,#, .,#,#, ., .,#,#, .,#,#,#,#,#, .
w, :, ., ., ., ., ., ., ., ., ., .,#, .,#, ., ., .,#, .
 :, :,:,., .,#, .,#,#,w, ., ., ., .,#, .,#, .,#, .
 :,w,#,:, :,.|X,#,#,#,#,w, ., ., .,., .,#, .,#, .
 ., :, :, ., .,#,#,#,#,#,#,#,#,#,#, .,#, .,#, .
 ., .,#,#, ., .,#,#,/0Dungeon 2, ., .,#,w, .,., .,#,#,#, .
#, .,#, ., .,#,#,.,#, ., .,#, ., .,#, ., ., ., ., .
 ., .,#,.,., .,.,#,#,#, ., ., .,w,#,#,#,#,#,#
 .,#,#,#,., .,.,.|Z,.,#,#, ., .,#,#,.|Z, ., .,#, .
 ., .,#,#,#,#,#,#,#,#,#,#,.,.,#, .,#, .,#, .
#, ., ., :, :, :, ., ., ., ., ., ., .,w,w, .,#, .,.|Z, .
#,#, #, #, #,#, #, #, #,#, #, #,#, #, #,#,#,#,#,#
